instituto,semestre,carrera,edad,sexo,res1,res2,res3,res4,res5,res6,res7,res8,res9,res10,res11,res12,res13,res14,res15,res16,res17,res18,res19,res20,categoria,resultado
I.T de Tuxtla Gutierrez,6,Sistemas,20,Hombre,1,2,1,2,1,1,1,2,2,2,3,2,2,2,1,2,2,3,1,2,2,35
I.T de Tuxtla Gutierrez,6,Sistemas,20,Hombre,1,2,2,2,2,2,2,1,2,2,2,2,2,2,2,3,3,2,2,2,2,40
I.T de Tuxtla Gutierrez,6,Sistemas,20,Hombre,2,2,3,2,1,3,2,1,2,1,2,1,2,1,1,1,3,2,2,3,2,37
I.T de Tuxtla Gutierrez,6,Sistemas,21,Hombre,2,4,2,1,2,3,3,3,2,3,4,3,4,2,2,2,3,4,2,3,2,54
I.T de Tuxtla Gutierrez,6,Sistemas,20,Hombre,1,2,1,1,2,2,3,4,2,4,3,3,2,2,1,3,2,3,2,3,2,46
I.T de Tuxtla Gutierrez,6,Sistemas,21,Hombre,2,3,3,2,4,2,2,2,2,2,2,2,1,2,2,2,1,3,3,2,2,44
I.T de Tuxtla Gutierrez,6,Sistemas,21,Hombre,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,2,23
I.T de Tuxtla Gutierrez,6,Sistemas,20,Hombre,2,2,2,1,3,2,3,2,2,2,4,1,2,2,3,2,3,2,3,2,2,45
I.T de Tuxtla Gutierrez,6,Sistemas,20,Hombre,1,2,2,1,1,1,2,2,1,2,2,1,1,1,1,2,2,2,1,3,2,31
I.T de Tuxtla Gutierrez,6,Sistemas,20,Hombre,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,3,2,3,2,29
I.T de Tuxtla Gutierrez,6,Sistemas,20,Hombre,1,2,2,1,1,2,2,3,2,3,2,3,2,2,1,2,2,2,1,3,2,39
